book	chapter	verse	suz_sentence	npi_sentence	alignment_type	confidence_signal
MAT	1	14	सादोकमी अकीम थि‍माक्‍त। अकीममी एलीउद थि‍माक्‍त।	आजोर सादोकका पिता, सादोक आखिमका पिता, र आखिम एलिउदका पिता थिए ।	2:1	length_only
MAT	1	15	एलाजरमी मात्‍थान थि‍माक्‍त। मात्‍थानमी याकूब थि‍माक्‍त।	एलिउद एलाजारका पिता, एलाजार मत्तानका पिता, र मत्तान याकूबका पिता थिए ।	2:1	length_only
MAT	1	16	मिनु याकूबमी योसेफ थि‍माक्‍त। योसेफ मरीयम आ वोंइश बाक्‍माक्‍त।	याकूब तिनै मरियमका पति योसेफका पिता थिए, जसबाट येशू जन्मनुभयो, जसलाई ख्रीष्‍ट भनिन्छ ।	2:1	length_only
MAT	1	17	मिनु दाऊद पिप रे पा बेबीलोन चाक्‍दीत्‍‍ची सम्‍म १४ पाला दुम्‍मा बाक्‍त। बेबीलोन चाक्‍दीश्‍शो रे ख्रीस्‍त जरमेसेनु १४ पाला दुम्‍मा बाक्‍त।	अब्राहामदेखि दाऊदसम्म जम्मा पुस्ता चौध पुस्ता, दाऊददेखि बेबिलोनको निर्वासनसम्म चौध पुस्ता र बेबिलोनको निर्वासनदेखि येशू ख्रीष्‍टसम्म चौध पुस्ता थिए ।	2:1	length_only
MAT	1	18	येसु ख्रीस्‍त जरमेचा कली दोदेंशो दुम्‍माक्‍त देंशा हना, मरीयम योसेफ कली गेशा लोव़ ख्रोइक्‍ने थुम्‍शो बाक्‍माक्‍त।	येशू ख्रीष्‍टको जन्म यस प्रकारले भयो ।	1:1	length_only
MAT	1	18	मिनु योसेफमी मरीयम कली ग्‍युंबे पा आ खिं लाइक्‍चा क्‍येङा ङोंइती मरीयम आल कुरशो बाक्‍माक्‍त। मेको आल चहिं मुर आ आल ममाइ।	उहाँकी आमा मरियमको योसेफसँग विवाहको निम्ति मगनी भएको थियो, तर उनीहरूको सहवास हुनुभन्दा अगाडि तिनी पवित्र आत्माद्वारा गर्भवती भएकी थाहा हुन आयो ।	2:1	length_only
MAT	1	19	मिनु योसेफमी “मरीयम आल कुरशो बाक्‍माक्‍त” दे तुइश्‍शा “मुल प्रोंइचा दुम्‍ती” दे मिम्‍ता बाक्‍त।	तिनका पति योसेफ धर्मी मानिस थिए र उनले तिनलाई सबैका सामु शर्ममा पार्न चाहेनन् ।	1:1	length_only
MAT	1	19	योसेफ रिम्‍शो मुर बाक्‍माक्‍त। मोपतीके “मरीयम कली मुने मतोक्‍चा” दे मिम्‍शो बाक्‍माक्‍त।	यसैले, उनले गोप्य प्रकारले तिनीसँगको मगनीलाई रद्द गर्ने निर्णय गरे ।	2:1	length_only
MAT	1	20	मिनु “गो प्रोंइचा दुम्‍ती” दे मिम्‍ना मिम्‍न बाक्‍मेनु, काबु ङोमु तवा बाक्‍त। मिनु ङोमु तवानु, परमप्रभु यावे आ स्‍वर्ग ङा गेय पाइबमी “दाऊद आ तौ योसेफ नेनो। मरीयम कली प्रोंइनुङ, दे ममिम्‍तो। महिंथु इ खिं लाइश्‍शा वोंइसो। आ कोव़जम बाक्‍शो चहिं परमप्रभु यावे आ सोक्‍त के बाक्‍त।	जसै उनले यी कुराहरूको बारेमा विचार गरे, सपनामा परमप्रभुका एक जना स्वर्गदूत उनको सामु देखा परे र यसो भने, “हे दाऊदका पुत्र योसेफ, मरियमलाई आफ्नी पत्‍नीको रूपमा स्वीकार्न नडराऊ, किनकि जो तिनको गर्भमा हुनुहुन्छ, उहाँ पवित्र आत्माद्वारा गर्भधारण हुनुभएको हो ।	2:1	length_only
MAT	1	21	मेको कली येसु नें वोतो। मारदे हना मेकोमी आ मुर आन कली पाप रे प्रोंइब” दे तुइक्‍पदा बाक्‍त।	तिनले एक जना पुत्र जन्माउनेछिन् र तिमीले उहाँको नाउँ येशू राख्‍नेछौ, किनकि उहाँले आफ्ना मानिसहरूलाई तिनीहरूका पापबाट बचाउनुहुनेछ ।”	2:1	length_only
MAT	1	22	मेको मो दुम्‍शोमी परमप्रभु यावेमी साइ नेसी आ लोव़ पाइब पपाइश्‍शो लोव़ खाप्‍ताक्‍व। साइ नेसी परमप्रभु यावे आ लोव़ पाइबमी	अगमवक्‍ताद्वारा परमप्रभुले बोल्नुभएको यस्तो भनाइ पुरा हुनलाई यी सबै भए,	2:1	length_only
MAT	1	23	“नेनीने, कन्‍ने मीश आलमी कोव़ज कुरशा, तौ का थीब। मेको आल आ नें इम्‍मानुएल वोइक्‍नीम। इम्‍मानुएल देंशो ‘परमप्रभु यावे गोपुकी नु बाक्‍शो बाक्‍ब’ दे रुम्‍सीब” दे ब्रेक्‍शो बाक्‍ब।	“हेर, कन्या गर्भवती हुनेछिन् र एक जना पुत्र जन्माउनेछिन्, र तिनीहरूले उहाँको नाउँ इम्मानुएल राख्‍नेछन्”, जसको अर्थ हुन्छ, “परमेश्‍वर हामीसँग ।”	1:1	length_only
MAT	1	24	योसेफ निन्‍द्रा रे सेंसीशा बोक्‍शा, परमप्रभु यावे आ स्‍वर्ग ङा गेय पाइब आ लोव़ टिशा, मरीयम कली आ खिं लदा बाक्‍त।	योसेफ निद्राबाट ब्युँझे र उनले परमप्रभुका दूतले आज्ञा गरेअनुसार गरे र उनले तिनलाई उनकी पत्‍नीको रूपमा स्वीकारे ।	1:1	length_only
MAT	1	25	मरीयम नु मइप्‍थु, तौ का थि‍माक्‍त।	तर, तिनले पुत्रलाई जन्म नदिएसम्म उनले तिनीसँग शारीरिक सम्बन्ध राखेनन् ।	1:1	length_only
MAT	1	25	मिनु मेको कली येसु नें वोदा बाक्‍त।	र उनले उहाँको नाउँ येशू राखे ।	1:1	length_only
MAT	2	1	मेना मेकेर हेरोद पिप बाक्‍माक्‍त। मिनु येसु जरमेसेनु, सोरुल कोव़शा, जोक्‍ब तुइक्‍ब नां दाप्‍तीक रे यरूसलेममी जाक्‍मा बाक्‍त।	यहूदियाको बेथलेहेममा राजा हेरोदको समयमा येशूको जन्म भएपछि पूर्वबाट ज्ञानी मानिसहरू यरूशलेममा आएर यसो भन्‍न लागे,	2:1	length_only
MAT	2	2	मिनु यरूसलेममी जाक्‍शा “यहूदी आन पिप ते जरमेसे? मारदे हना गोपुकीमी पूर्ब ङा रागीम आ सोरुल ताइतक। मिनु गो मेको कली ठेयब सेल्‍थ जाक्‍तक। ते बाक्‍मा?” देंमा बाक्‍त।	“यहूदीहरूका राजा भई जन्मनुभएका उहाँ कहाँ हुनुहुन्छ ? हामीले उहाँको तारा पूर्वमा देख्यौँ र उहाँलाई दण्डवत् गर्न आएका छौँ ।”	1:1	length_only
MAT	2	3	मिनु पिप हेरोद नु यरूसलेममी बाक्‍बपुकीमी मेको आन लोव़ नेंशा, आन थुं ग्‍येत्‍थ लुक्‍च दुम्‍मा बाक्‍त।	जब हेरोद राजाले यो सुने, उनी र उनीसँगै सारा यरूशलेम बेचैन भए ।	1:1	length_only
MAT	2	4	मिनु हेरोदमी ठेयब चढ़ेब नु सास्‍त्री आन कली खुप्‍शा “ख्रीस्‍त ते जरमेसीबा?” दे हिल्‍लो पामी बाक्‍त।	हेरोदले सबै मुख्य पुजारी र मानिसहरूका शास्‍त्रीहरूलाई भेला गराए, र उनले तिनीहरूलाई सोधे, “जन्मने भनिएका ख्रीष्‍ट कहाँ छन् ?”	1:1	length_only
MAT	2	5	मिनु मेकोपुकीमी “यहूदीया ङा बेथलेहेम सहरमी जरमेसीब। मारदे हना परमप्रभु यावे आ लोव़ पाइबमी	तिनीहरूले उनलाई भने, “यहूदियाको बेथलेहेममा किनकि अगमवक्‍ताद्वारा यस्तै लेखिएको थियो,	1:1	length_only
MAT	2	6	‘ए यहूदीया ङा बेथलेहेम सहर, यहूदीया ङा सहर नेल्‍ल क्‍येङा आइक्‍च महिक्‍सीशो सहर मनवे। मारदे हना इं इस्राएली आन कली सासन पाइब बेथलेहेममी जरमेसीब’ दे ब्रेक्‍शो बाक्‍ब” दे शेंदमे बाक्‍त।	‘र यहूदाको देशमा, ए बेथलेहम, यहूदाका शासकहरूभन्दा तँ कुनै कम छैनस्, किनकि तँबाट एक जना शासक आउनुहुनेछ जसले मेरा मानिस इस्राएलको हेरचाह गर्नुहुनेछ’ ।”	1:1	length_only
MAT	2	7	मिनु हेरोदमी मेको आन लोव़ नेंशा सुइमी मतुइक्‍थु, नां दाप्‍तीके रे जाक्‍शो सोरुल कोव़ब आन कली ब्रेत्‍तीमी बाक्‍त। मिनु मेको सोरुल गेना ग्रूमे, दे रुबा बाक्‍त।	त्यसपछि ठिक कुन समयमा तारा देखा परेको थियो भनी सोध्‍न हेरोदले गुप्‍त रूपमा ती ज्ञानी मानिसहरूलाई बोलाए ।	2:1	length_only
MAT	2	8	मिनु “लो, मुल बेथलेहेम सहर लने। मेकेर जाक्‍दीश्‍शा, मेको आल मालीन। मिनु थिश्‍शा आं कली यो शेंदीन। गो यो लशा ठेयब सेल्‍नुङ” दे सोइक्‍तीमी बाक्‍त।	उनले तिनीहरूलाई यसो भन्दै बेथलेहेम पठाए, “जाओ र राम्रोसँग त्यस बालकलाई खोज । जब उनलाई भेट्टाउनेछौ, मलाई खबर गर ताकि म पनि गएर उनलाई दण्डवत् गर्न सकूँ ।”	1:1	length_only
MAT	2	9	मिनु नां दाप्‍तीकेमी तशो सोरुलमी आन कली लां कोंइदीमी बाक्‍त। लां कोंइना कोंइन नक थिशो आल बाक्‍तीके आ सोरुल ख्रा दिक्‍माक्‍त।	तिनीहरूले राजाले भनेका कुरा सुनेपछि तिनीहरू आफ्नो बाटो लागे अनि तिनीहरूले पूर्वमा देखेका तारा तिनीहरूका अगि-अगि गए, र सानो बालक भएको ठाउँमा आइपुग्दा त्यो तारा त्यही ठाउँमाथि रोकियो ।	2:1	length_only
MAT	2	10	सोरुल ख्रा दिक्‍शो तशा, शुश ग्‍येरशा आल आ बाक्‍तीकेमी ओव़मा बाक्‍त।	जब तिनीहरूले त्यो तारा देखे, तिनीहरू हर्षले अति आनन्दित भए ।	1:1	length_only
MAT	2	11	मिनु ओव़शा, आल नु आल आ ममा मरीयम कली तामे बाक्‍त।	तिनीहरू घरभित्र पसे र सानो बालकलाई उहाँकी आमा मरियमको साथमा देखे ।	1:1	length_only
MAT	2	11	मिनु आन पोक्‍च थेक्‍शा आल कली ठेयब सेल्‍मे बाक्‍त।	तिनीहरूले दण्डवत् गरे र उहाँको आराधना गरे ।	1:1	length_only
MAT	2	11	मिनु आन कुरशो थैलो प्राक्‍शा, सुन धूप नु ब्रोव़शो रिना पाइब थोव़क ग्रुंइशा ख्रेत्‍तमे बाक्‍त।	तिनीहरूले आफ्ना बहुमूल्य कुराहरू निकाले र उहाँलाई सुन, सुगन्धित धूप र मूर्रका उपहारहरू चढाए ।	1:1	length_only
MAT	2	12	आल कली ग्रुम्‍ने थुम्‍शा, आन रागी लेत्‍‍ची ना परमप्रभु यावेमी ङोमुमी “पिप हेरोद कली लेंशा मग्रुमीने” दे तुइक्‍पाइक्‍मी बाक्‍त।	परमेश्‍वरले तिनीहरूलाई हेरोदकहाँ फर्की नजानू भनी सपनामा चेतावनी दिनुभयो ।	1:1	length_only
MAT	2	12	मिनु यरूसलेम लतीक लां हेरशा, आन रागी लेम्‍मा बाक्‍त।	त्यसैले, तिनीहरू अर्कै बाटो भएर आ-आफ्नै देशमा गए ।	1:1	length_only
MAT	2	13	मेकोपुकी लमा नोले काबु योसेफमी ङोमुमी परमप्रभु यावे आ स्‍वर्ग ङा गेय पाइब का फो ग्रूशो तवा बाक्‍त। मेकोमी “मोबु आस कली लाइश्‍शा, एकेर रे प्रोक्‍शा, इजीप्‍त रागी जाक्‍दीश्‍शा, लेत्‍तीन मदेंङ सम्‍म बाक्‍कीन। मारदे हना पिप हेरोदमी आल कली साइक्‍चा, दे माल्‍चा चिक्‍ताक्‍व” दे मदा बाक्‍त।	तिनीहरू गइसकेपछि परमप्रभुका एउटा दूत योसेफकहाँ सपनामा देखा परे र भने, “उठ, सानो बालक र उहाँकी आमालाई लिएर मिश्र देशमा भागेर जाऊ । मैले नभनेसम्म त्यहीँ बस, किनकि हेरोदले सानो बालकलाई मार्न उहाँलाई खोज्नेछ ।”	2:1	length_only
MAT	2	14	मिनु योसेफमी निन्‍द्रा रे सेंसीशा छुल बोक्‍शा, मोबु आस कली लाइश्‍शा मेको, नाक्‍दोन इजीप्‍त प्रोक्‍मा बाक्‍त।	त्यो रात योसेफ उठे र सानो बालक र उहाँकी आमालाई लिए अनि मिश्रदेशतर्फ प्रस्थान गरे ।	1:1	length_only
MAT	2	15	मिनु इजीप्‍त रागीमी जाक्‍दीश्‍शा, पिप हेरोद मबेक्‍म सम्‍म मेकेर बाक्‍मा बाक्‍त।	हेरोदको मृत्यु नभएसम्म उनी त्यहीँ बसे ।	1:1	length_only
MAT	2	15	मो दुम्‍शोमी परमप्रभु यावे आ लोव़ थमा दुम्‍माक्‍त। साइ नेसी परमप्रभु यावेमी आ लोव़ पाइब रे पा “इजीप्‍त रे लेत्‍तो, दे आं तौ कली ब्रेत्‍ताक्‍ङ” दे देंशो बाक्‍माक्‍त।	अगमवक्‍ताद्वारा परमप्रभुले भन्‍नुभएको कुरा यसरी पुरा भयो, “मैले आफ्ना पुत्रलाई मिश्रदेशबाट बोलाएको छु ।”	2:1	length_only
MAT	2	16	पिप हेरोदमी मार पवा बाक्‍त देंशा हना “मेको सोरुल कोव़शा जोक्‍ब तुइक्‍बपुकीमी जोल पाइयीमी बाक्‍त” दे तुइश्‍शा चुरमाक्‍त।	त्यसपछि जब हेरोदले आफू ती ज्ञानी मानिसहरूबाट छलिएको कुरा थाहा पाए, उनी औधी रिसाए ।	1:1	length_only
MAT	2	16	मिनु आन देंशो लोव़मी “पिप मेना जरमेसीब” दे मिम्‍शा, मेको पिप दुम्‍ब आल कली थिन्‍ने मचाप्‍तीके बेथलेहेम सहर एर ओंथ गाउं ङा बर्स निक्‍शी मलाक्‍शो वोंइश आल नेल्‍ल आन कली माल्‍ना माल्‍न साइक्‍पाइक्‍मी बाक्‍त।	ती ज्ञानी मानिसहरूबाट उनले निर्धारण गरेका समयअनुसार त्यस क्षेत्रका दुई वर्ष पुगेका र त्योभन्दा मुनिका बालकहरूलाई र बेथलेहेमका सबै पुरुष बालकलाई मानिसहरू पठाएर मार्न लगाए ।	1:1	length_only
MAT	2	17	मो पवानु, परमप्रभु यावे आ लोव़ थमा दुम्‍माक्‍त। साइ नेसी परमप्रभु यावेमी आ लोव़ पाइब येरमीया रे पा	यसरी यर्मिया अगमवक्‍ताद्वारा जे भनिएको थियो, त्यो पुरा भयो,	2:1	length_only
MAT	2	18	“रामाह सहरमी रोंका पा ङाक्‍शो नेंसीब। राहेलमी ङाक्‍ना ङाक्‍न बाक्‍ब। सुइमी लेम्‍ने मचाप्‍नीम। मारदे हना आ आल साइक्‍चा पुंइसाक्‍म” देंमाक्‍त।	“रामामा एउटा आवाज सुनियो, रोदन र ठुलो विलाप, बालकहरूका निम्ति राहेलको रोदन, र सान्त्वना तिनले इन्कार गरिन्, किनकि तिनका बालकहरू अब रहेनन् ।”	1:1	length_only
MAT	2	19	मिनु नोले पिप हेरोद बेक्‍माक्‍त। मिनु काबु इजीप्‍त रागीम बाक्‍शो योसेफ ङोमु तवानु, परमप्रभु यावे आ स्‍वर्ग ङा गेय पाइबमी	जब हेरोद मरे, हेर, परमप्रभुका एक जना दूत मिश्रमा योसेफकहाँ सपनामा देखा परे अनि उनलाई भने,	2:1	length_only
MAT	2	20	“मोबु आस कली लाइश्‍शा, इस्राएल लेश्‍शा लावो। आल कली साइक्‍चा माल्‍बपुकी बेक्‍तेक्‍म” देंमाक्‍त।	“उठ, अनि बालक र उहाँकी आमालाई लिएर इस्राएल देशमा जाऊ, किनकि जसले बालकलाई मार्न चाहेका थिए, तिनीहरू मरिसकेका छन् ।”	1:1	length_only
MAT	2	21	मिनु योसेफमी मोबु आस कली इस्राएल लेत्‍ता बाक्‍त।	योसेफ उठे, अनि बालक र उहाँकी आमालाई लिएर इस्राएल देशमा आए ।	1:1	length_only
MAT	2	22	मिनु लेश्‍शा जाक्‍दीश्‍शा, यहूदीया रागीमी हेरोद आ तौ अरकीलाउस पिप दुम्‍शो बाक्‍त देंशो नेंशा, यहूदीया रागीमी बाक्‍चा हिंमाक्‍त।	तर जब यहूदियामा आफ्ना बुबा हेरोदको ठाउँमा अर्खिलाउसले शासन गरिरहेका उनले सुने, उनी त्यहाँ जान डराए ।	1:1	length_only
MAT	2	22	मिनु लेंशा ङोमुमी “यहूदीयामी मबाक्‍कीन। गालील रागी लशा बाक्‍कीन” दे माइक्‍चा पुंइसे बाक्‍त। मिनु गालील रागी लमा बाक्‍त।	परमप्रभुले सपनामा चेतावनी दिनुभएपछि उनी गालीलको क्षेत्रतिर लागे,	2:1	length_only
MAT	2	23	मिनु गालील ङा नासरथ सहरमी जाक्‍दीश्‍शा बाक्‍मा बाक्‍त।	र नासरत भनिने सहरमा गएर बसे ।	1:1	length_only
MAT	2	23	मारदे हना साइ नेसी परमप्रभु यावे आ लोव़ पाइब आन लोव़ थमा दुम्‍चा माल्‍बाक्‍माक्‍त। मेकोपुकीमी “मेको कली नासरी देंनीम” देंशो बाक्‍मा बाक्‍ब।	“उहाँलाई नासरी भनिनेछ” भनेर अगमवक्‍ताहरूद्वारा बोलिएको वचन यसरी पुरा भयो ।	2:1	length_only
MAT	3	1	मेना ब्‍वाक्‍कुमी ख्रुम्‍शा ग्रुंइब यूहन्‍ना यहूदीया ङा गोरशो रागीम बाक्‍शा	ती दिनमा बप्‍तिस्‍मा-दिने यूहन्‍ना यहूदियाको उजाड-स्थानमा यसो भनेर प्रचार गर्दै आए,	1:1	length_only
MAT	3	2	“इन थुं परमप्रभु यावे गे लेत्‍तीने। मारदे हना स्‍वर्ग ङा राज्‍य जाक्‍चशो बाक्‍ब” दे मुर आन कली शेंना शेंन बाक्‍माक्‍त।	“पश्‍चात्ताप गर, किनभने स्वर्गको राज्य नजिकै छ ।”	1:1	length_only
MAT	3	3	साइ नेसी परमप्रभु यावे आ लोव़ पाइब यसैयामी “गोरशो रागीमी सेंदा कामी ओदेंशो नेंसीब ‘प्रभु आ लां सेलीने। आ गाक्‍तीके फुल्‍लु ग्रोक्‍शा थेलीने’ देंशो नेंसीब” देंशो बाक्‍माक्‍त। मेको लोव़ पाइब यूहन्‍ना बाक्‍माक्‍त।	किनभने यी मानिस तिनै हुन् जसको बारेमा यशैया अगमवक्‍ताद्वारा यसो भनिएको थियो, “उजाड-स्थानमा एक जना कराउनेको आवाज, ‘परमप्रभुको मार्ग तयार पार, उहाँका मार्गहरू सोझा बनाओ’ ।”	2:1	length_only
MAT	3	4	यूहन्‍नामी दलओंठ आ चां के प्रोव़शो वा फेक्‍बाक्‍माक्‍त, कुशुल के पेटी किप्‍बाक्‍माक्‍त।	अब यूहन्‍नाले उँटको रौँका वस्‍त्र र कम्मरको वरिपरि छालाको पेटी लगाउँथे ।	1:1	length_only
MAT	3	4	मिनु सल्‍हा ब्‍वशा, रोका खुदो जशा बाक्‍बाक्‍माक्‍त।	उनका खानेकुरा सलह र वन-मह थिए ।	1:1	length_only
MAT	3	5	मिनु गोरशो रागीम बाक्‍मेनु, यरूसलेम सहर नु यहूदीया रागी ङा गाउं सहर ङा मुर नेल्‍ल जाक्‍शा देल्‍मा बाक्‍त। यर्दन खोला आ नेक्‍था ङा मुरपुकी यो शुश जाक्‍शा देल्‍मा बाक्‍त।	त्यसपछि यरूशलेम, सारा यहूदिया र यर्दन नदी वरपरका सबै क्षेत्रका मानिसहरू उनीकहाँ आए ।	2:1	length_only
MAT	3	6	यूहन्‍ना आ लोव़ नेंशा, शुश मुरुमी आन मरिम्‍शो पशो शोव़ङमे बाक्‍त। मो पा शोव़ब आन कली यूहन्‍नामी यर्दन खोलामी ख्रुम्‍शा ग्रुंइदीमी बाक्‍त।	तिनीहरूले आ-आफ्ना पाप स्वीकार गर्दै यर्दन नदीमा बप्‍तिस्मा लिए ।	2:1	length_only
MAT	3	7	मिनु यूहन्‍नामी फरिसी नु सदुकी शुश जाक्‍शो तशा, मेको आन कली “गे बुस्‍स आ खलकपुकी, सुमी परमप्रभु यावे आ सजाइ रे ब्रोंइचा तांइसीब, दे शेंदीनी?	तर जब तिनले धेरै फरिसीहरू र सदुकीहरू बप्‍तिस्‍माको निम्ति तिनीकहाँ आएको देखे, तब तिनले तिनीहरूलाई भने, “विषालु सर्पका सन्तान हो, आउन लागेको क्रोधबाट भाग्‍न तिमीहरूलाई कसले चेतावनी दियो ?	1:1	length_only
MAT	3	8	परमप्रभु यावे गे इन थुं लेश्‍शो तचा ङा पा फल सिप्‍पा कोंइदीने।	पश्‍चात्तापको निम्ति सुहाउँदो फल फलाओ ।	1:1	length_only
MAT	3	9	अब्राहाम इं आफ बाक्‍ब, दे शोर गाक्‍शा मबाक्‍कीन। मारदे हना परमप्रभु यावेमी एको फुल्‍लु रे अब्राहाम कली आल सेल्‍ने चाप्‍ब, दे तुइक्‍तीन।	र आफ्नै बिचमा यस्तो विचार नगर, ‘अब्राहाम नै हाम्रा पिता हुन् ।’ किनकि म तिमीहरूलाई यो भन्दछु, कि अब्राहामका निम्ति परमेश्‍वरले यी ढुङ्गाहरूबाट पनि सन्तान उत्पन्‍न गराउन सक्‍नुहुन्छ ।	2:1	length_only
MAT	3	10	तिम्‍चा, दे रवा आ पुंमी खा वोइश्‍शो बाक्‍ब।	रुखहरूको फेदमा बन्चरो अगि नै परिसकेको छ ।	1:1	length_only
MAT	3	10	फल मसिप्‍ब रवा का का पा तिम्‍शा मीमी चोचा पुंइसीनीम, दे तुइक्‍तीन।	यसकारण, असल फल नफलाउने हरेक रुख काटी ढालिनेछ, र आगोमा फ्याँकिनेछ ।	1:1	length_only
MAT	3	11	इन थुं लेत्‍‍चा कली इन कली ब्‍वाक्‍कुम ख्रुम्‍शा ग्रुंइनन्‍नी। गो ब्‍वाक्‍कुम ख्रुम्‍शा ग्रुंइब ला नङ।	म तिमीहरूलाई पश्‍चात्तापको निम्ति पानीले बप्‍तिस्‍मा दिन्छु ।	2:1	length_only
MAT	3	11	आं नोले जाक्‍ब चहिं आं क्‍येङा शुश सक्ति पाइश्‍शो ठेयब बाक्‍ब। गो मेको आ जु‍त्ता गुप्‍शा कुरचा लायो मशिरनुङ।	तर मपछि आउनुहुनेचाहिँ मभन्दा शक्‍तिशाली हुनुहुन्छ, र म उहाँका चप्पलहरू बोक्‍न पनि योग्यको छैनँ ।	2:1	length_only
MAT	3	11	मेकोमी इन कली परमप्रभु यावे आ सोक्‍तीमी ख्रुम्‍ब, मीमी यो हुम्‍ब।	उहाँले तिमीहरूलाई पवित्र आत्मा र आगोले बप्‍तिस्‍मा दिनुहुनेछ ।	1:1	length_only
MAT	3	12	आ गुइमी ग्‍योल बाक्‍ब। मेकोमी लाङगामी हाम्‍शो चेरब हुरशा, भूस नु गेडा तिल्‍ब।	उहाँको खलालाई राम्ररी सफा गर्न र धनसारमा उहाँको गहुँ थुपार्न उहाँको निफन्‍ने नाङ्लो उहाँको हातमा छ ।	2:1	length_only
MAT	3	12	गेडा कोठोमी कुर पा वोइक्‍ब। भूस चहिं गेनायो मकाप्‍ब मीमी चोइब” दे माइक्‍मी बाक्‍त।	तर उहाँले भुसलाई चाहिँ कहिल्यै निभाउन नसकिने आगोले डढाइदिनुहुनेछ ।”	2:1	length_only
MAT	3	13	मिनु काबु येसु गालील रागी रे यूहन्‍ना नु ब्‍वाक्‍कुम ख्रुम्‍शा ग्रुंइसीथ यर्दन खोला यूहन्‍ना आ बाक्‍तीकेमी जाक्‍माक्‍त।	त्यसपछि यूहन्‍नाबाट बप्‍तिस्‍मा लिनको निम्ति येशू गालीलबाट यर्दन नदीमा आउनुभयो ।	1:1	length_only
