suz_word	npi_word	frequency	sil_match_status
मेको	उहाँलाई	53	not_in_SIL
बाक्‍त	दिए	53	not_in_SIL
सिमोन	सिमोन	53	not_in_SIL
इन	आफ्नो	53	disagree
पावल	पावल	53	not_in_SIL
तशा	देखे	52	not_in_SIL
राज्‍य	राज्य	52	not_in_SIL
सुइमी	कसैले	52	not_in_SIL
आंइ	हामीलाई	51	disagree
ठेयब	प्रधान	51	disagree
ख्रीस्‍त	ख्रीष्‍टमा	51	not_in_SIL
बाक्‍त	भए	50	not_in_SIL
ब्रेक्‍शो	लेखिएको	50	not_in_SIL
नु	वा	50	disagree
रां	शरीर	50	agree
गेपुकीमी	तिमीहरूले	50	not_in_SIL
आ	त्यसको	50	disagree
दाक्‍शो	प्रिय	49	not_in_SIL
सोक्‍त	आत्मा	49	disagree
गो	मेरो	49	agree
जना	जना	48	not_in_SIL
सां	तिन	48	disagree
मुर	एक	47	disagree
मेको	र	47	not_in_SIL
ङोंइती	अगाडि	46	agree
पिप	राजा	46	agree
आंइ	हाम्रा	46	disagree
यावे	परमेश्‍वर	46	not_in_SIL
मेकोमी	उहाँले	45	not_in_SIL
कली	यसो	45	disagree
ङोंइती	पहिले	45	disagree
मारेइ	केही	45	agree
आन	मानिसहरूलाई	45	disagree
मोपतीके	त्यसैले	45	agree
सु	को	45	agree
इं	हाम्रो	45	agree
मेकोपुकी	तिनीहरू	44	not_in_SIL
कली	उहाँलाई	44	agree
कली	विरुद्धमा	44	disagree
गेपुकी	तिमीहरूले	44	agree
मुर	मानिसलाई	44	agree
मुल	अब	44	disagree
आ	तिनको	43	disagree
मिनु	उहाँलाई	43	disagree
बाक्‍ब	हुन्	43	not_in_SIL
शुश	ठुलो	43	disagree
मिनु	उहाँ	43	disagree
दाइश्‍शा	साँचो	43	not_in_SIL
का	एउटै	43	disagree
पने	गर	43	not_in_SIL
बाक्‍नीम	छन्	43	not_in_SIL
मेकेर	त्यहाँ	43	agree
आ	परमेश्‍वरको	42	disagree
कली	मानिसलाई	42	agree
बाक्‍ब	छन्	42	not_in_SIL
गेना	अनन्त	42	disagree
पावलमी	पावलले	42	not_in_SIL
बाक्‍त	हो	41	not_in_SIL
नोले	पछि	41	agree
गे	तिमीले	41	disagree
मेकोमी	उसले	41	not_in_SIL
आफोमी	पिताले	41	not_in_SIL
आन	तिनीहरूको	41	disagree
अरेशो	व्यवस्था	41	not_in_SIL
नेंमी	नाउँमा	41	not_in_SIL
खिं	घर	41	agree
ब्‍वाक्‍कु	पानी	41	not_in_SIL
७	सातवटा	41	not_in_SIL
आंइ	हाम्रो	41	agree
बाक्‍ब	हुन्छ	40	not_in_SIL
नेंशा	सुने	40	not_in_SIL
मरिम्‍शो	दुष्‍ट	40	not_in_SIL
मार	जे	40	disagree
मुर	मानिसहरू	40	agree
थमा	सत्य	40	agree
मिनु	त्यहाँ	40	disagree
मिनु	त्यो	39	disagree
यरूसलेम	यरूशलेम	39	not_in_SIL
गेय	सेवा	39	disagree
गो	हामीले	39	agree
परमप्रभु	जसले	39	not_in_SIL
लोक्‍ब	भाइ	39	not_in_SIL
दोस	दोष	39	not_in_SIL
आन	आफ्ना	38	disagree
येसुमी	तिनीहरूलाई	38	not_in_SIL
आन	तिनीहरू	38	disagree
आफ	पिताको	38	disagree
मोपतीके	त्यसकारण	38	disagree
नोफा	साँच्‍चै	38	disagree
शेंसीब	चेलाहरूलाई	38	disagree
आ	उसको	38	agree
आ	उनको	38	disagree
मान	आदर	38	not_in_SIL
चढ़ेब	पुजारीहरू	38	not_in_SIL
पावल	पावललाई	38	not_in_SIL
मुर	मानिसहरूलाई	37	agree
गोपुकीमी	हामीले	37	not_in_SIL
मिक्‍च	आँखा	37	not_in_SIL
गेय	कामहरू	37	agree
शेंसीबपुकीमी	चेलाहरूले	37	not_in_SIL
रागी	संसारको	37	disagree
बाक्‍मा	थिए	37	not_in_SIL
यहूदी	यहूदी	37	not_in_SIL
थि‍माक्‍त	पिता	36	not_in_SIL
यूहन्‍ना	यूहन्‍ना	36	not_in_SIL
मरिम्‍शो	पाप	36	not_in_SIL
गेनायो	कहिल्यै	36	disagree
रे	बाहिर	36	disagree
नेनीने	भन्दछु	36	not_in_SIL
इन	तिम्रो	36	disagree
ङोंइती	अगि	36	disagree
मोदेंशो	यी	36	disagree
चहिं	तर	36	disagree
१२	बाह्र	36	not_in_SIL
मीश	स्‍त्री	36	disagree
अर्को	अर्को	36	not_in_SIL
कली	त्यसलाई	36	agree
इ	तिमीले	36	disagree
थमा	विश्‍वासको	36	disagree
प्रभु	प्रभुको	36	not_in_SIL
ताता	देखेँ	36	disagree
चढ़ेब	पुजारी	35	not_in_SIL
बाक्‍त	गए	35	not_in_SIL
आ	उहाँ	35	disagree
लोव़	प्रचार	35	disagree
ठेयब	प्रशंसा	35	disagree
पचा	गर्न	35	agree
तिरो	कर	35	not_in_SIL
खोदेंशो	जस्तै	35	agree
का	केही	35	disagree
अधिकार	अधिकार	35	not_in_SIL
येसुमी	येशू	35	not_in_SIL
मेको	उसले	35	not_in_SIL
ग्रांग्रा	अशुद्ध	35	disagree
पिलातसमी	पिलातसले	35	not_in_SIL
यावेमी	उहाँले	34	not_in_SIL
ग्‍येरपाइक्‍ब	सुसमाचार	34	not_in_SIL
शिशी	दया	34	agree
सहर	सहर	34	disagree
ग्‍युरा	दाहिने	34	not_in_SIL
श्‍येत	दुःख	34	not_in_SIL
ङोंइती	सामु	34	disagree
यो	तापनि	34	agree
आंम	आफ्नो	34	disagree
मारेइ	कुनै	34	disagree
ख्रोइक्‍तीक	खतना	34	not_in_SIL
यहूदीपुकीमी	यहूदीहरूले	34	not_in_SIL
ते	कहाँ	33	agree
ख्रुम्‍शा	बप्‍तिस्मा	33	not_in_SIL
दे	निम्ति	33	disagree
बाक्‍त	भयो	33	not_in_SIL
का	जना	33	disagree
इन	तपाईंका	33	disagree
७	सात	33	not_in_SIL
आंम	आफ्नै	33	agree
ख्रीस्‍त	ख्रीष्‍टका	33	not_in_SIL
परमप्रभु	परमेश्‍वरमा	33	not_in_SIL
परमप्रभु	परमेश्‍वरले	33	not_in_SIL
मेको	तर	32	not_in_SIL
इन	म	32	agree
याकूब	याकूब	32	not_in_SIL
ठीक	धार्मिकताको	32	not_in_SIL
दाक्‍शो	इच्छा	32	not_in_SIL
माफ	क्षमा	32	not_in_SIL
मरिम्‍शो	खराब	32	not_in_SIL
दे	ताकि	32	disagree
नाक्‍त	दिनमा	32	agree
मारेइ	सबै	32	disagree
मिनु	अब	32	disagree
प्रभु	प्रभुमा	32	not_in_SIL
थमा	पुरा	31	disagree
बाक्‍त	आए	31	not_in_SIL
स्‍वर्ग	स्वर्गको	31	not_in_SIL
गे	तपाईंले	31	disagree
मोपतीके	यसकारण	31	disagree
जरमेशो	पुत्र	31	not_in_SIL
बाक्‍नीनी	धन्यवाद	31	not_in_SIL
पाप	पापको	31	not_in_SIL
बाक्‍त	गर्नुभयो	31	not_in_SIL
सोक्‍तीमी	आत्माले	31	not_in_SIL
येसु	येशूमा	31	not_in_SIL
यूहन्‍नामी	यूहन्‍नाले	30	not_in_SIL
गुइमी	हातमा	30	not_in_SIL
छेङछेङ	ज्योति	30	disagree
राज्‍य	राज्यको	30	not_in_SIL
आन	मानिसहरूका	30	disagree
बाक्‍त	ल्याए	30	not_in_SIL
इ	तिम्रा	30	disagree
जाक्‍शा	आए	30	not_in_SIL
कली	मेरो	30	disagree
इन	तपाईंलाई	30	disagree
सक्ति	शक्‍ति	30	not_in_SIL
ठेयब	महिमा	30	disagree
आ	उहाँले	30	disagree
रिम्‍शो	अभिवादन	30	not_in_SIL
मुर	मानिसहरूका	29	agree
खिं	घरमा	29	agree
ठीक	धार्मिकता	29	not_in_SIL
क्‍येङा	भन्दा	29	not_in_SIL
ग्‍युंबे	विवाह	29	not_in_SIL
पने	गर्न	29	not_in_SIL
परमप्रभु	नै	29	not_in_SIL
खिंमी	घरमा	29	not_in_SIL
बाक्‍त	थिएन	29	not_in_SIL
मरीयम	मरियम	29	not_in_SIL
मेको	त्यसको	29	not_in_SIL
परमप्रभु	यो	29	not_in_SIL
पर्बम	विषयमा	29	disagree
बाक्‍नीम	हुन्	29	not_in_SIL
ङा	त	29	disagree
लोव़	वचनहरू	29	disagree
मिनु	ती	28	disagree
गे	पश्‍चात्ताप	28	disagree
आ	जसको	28	disagree
रोइ	बिरामी	28	agree
सुमी	कसैले	28	not_in_SIL
इन	कि	28	disagree
हुश	रगत	28	agree
एको	यस	28	not_in_SIL
मेको	त्यसले	28	not_in_SIL
मिनु	त्यसकारण	28	disagree
स्‍वर्ग	स्वर्गबाट	28	not_in_SIL
नाक्‍ती	दिनमा	28	not_in_SIL
आन	कि	28	disagree
परमप्रभु	कि	28	not_in_SIL
ममा	आमा	27	agree
हना	निम्ति	27	disagree
बाक्‍शो	भएको	27	not_in_SIL
हजार	हजार	27	not_in_SIL
मिनु	उहाँहरू	27	disagree
शेंब	गुरुज्यू	27	agree
मेको	उसलाई	27	not_in_SIL
शोंप	धनी	27	agree
बाक्‍कीन	रहो	27	not_in_SIL
थमा	विश्‍वासद्वारा	27	disagree
यहूदी	यहूदीहरूका	26	not_in_SIL
लां	बाटो	26	agree
आ	यसो	26	disagree
आन	तिनीहरूले	26	disagree
परमप्रभु	के	26	not_in_SIL
आन	मानिसहरूको	26	disagree
मेको	तिनीहरूको	26	not_in_SIL
बाक्‍माक्‍त	थिइन्	26	not_in_SIL
छक	छक्‍क	26	not_in_SIL
इन	तिम्रा	26	disagree
५	पाँच	26	not_in_SIL
आ	त्यसका	26	disagree
वाइल	दास	26	agree
इं	हामी	26	disagree
ङा	भएका	26	disagree
परमप्रभु	परमेश्‍वरबाट	26	not_in_SIL
थमा	विश्‍वासमा	26	disagree
लोव़	आज्ञा	25	disagree
फल	फल	25	not_in_SIL
क्‍येङा	सबैभन्दा	25	not_in_SIL
मिनु	फेरि	25	disagree
आ	उनका	25	disagree
शेंसीबपुकी	चेलाहरू	25	not_in_SIL
पर्बम	खातिर	25	disagree
हना	कि	25	disagree
लाप्‍चो	ढोका	25	not_in_SIL
दे	बारेमा	25	disagree
कली	सोधे	25	disagree
लोव़	घोषणा	25	disagree
रां	शरीरलाई	25	agree
मारेइ	कुरा	25	disagree
आंम	आफैँलाई	25	disagree
पा	गरी	25	disagree
मेको	जुन	25	not_in_SIL
आ	सबै	25	disagree
लोव़	गवाही	25	disagree
मुरपुकीमी	तिनीहरूले	25	not_in_SIL
मुर	मानिसको	25	agree
ब्रोंइशा	जीवन	25	not_in_SIL
आल	बालक	24	disagree
ठेयब	आराधना	24	disagree
बाक्‍त	दिनुभयो	24	not_in_SIL
जाक्‍शो	आएको	24	not_in_SIL
आ	निम्ति	24	disagree
देंशो	भन्‍ने	24	not_in_SIL
कसम	शपथ	24	not_in_SIL
इन	आफ्ना	24	disagree
मोदेंशो	यो	24	disagree
आफ	बुबा	24	disagree
नेल्‍लेमी	सबैले	24	not_in_SIL
बाक्‍त	जानुभयो	24	not_in_SIL
४	चार	24	not_in_SIL
रे	नै	24	disagree
आ	एउटा	24	disagree
प्रभु	प्रभुलाई	24	not_in_SIL
मारदे	ताकि	24	disagree
यरूसलेममी	यरूशलेममा	23	not_in_SIL
सहरमी	सहरमा	23	not_in_SIL
पा	रूपमा	23	disagree
ननी	हौ	23	not_in_SIL
ओव़चा	प्रवेश	23	disagree
स्‍वर्गम	स्वर्गमा	23	not_in_SIL
आमेन	आमेन	23	not_in_SIL
ङा	भएको	23	agree
आन	निम्ति	23	disagree
बाक्‍मे	छ	23	not_in_SIL
आफ	पितालाई	23	disagree
का	कोही	23	disagree
लोव़	अगमवाणी	23	disagree
छक	चकित	23	not_in_SIL
मीश	पत्‍नी	23	disagree
पिया	शिर	23	disagree
अरेशो	आज्ञा	23	not_in_SIL
सांकछी	गवाही	23	not_in_SIL
नु	उहाँसँगै	23	agree
नेनीन	साँचो	23	not_in_SIL
गेना	सदासर्वदा	23	disagree
इच्‍का	केही	23	not_in_SIL
छेङछेङ	महिमा	23	disagree
लोव़	पालन	23	disagree
गोरशो	उजाड-स्थानमा	22	not_in_SIL
सहर	सहरमा	22	disagree
नेल्‍ल	सबैलाई	22	agree
हना	तिनीहरूले	22	disagree
सरीङ	स्वर्ग	22	agree
देंनुङ	भन्दछु	22	not_in_SIL
रां	शरीरको	22	agree
सु	जसले	22	disagree
हना	तिमीहरू	22	disagree
कली	घोषणा	22	disagree
मेकोपुकीमी	तिनीहरू	22	not_in_SIL
होस	होसियार	22	disagree
नम	हुन्	22	not_in_SIL
श्‍येत	कष्‍ट	22	not_in_SIL
मिनु	तिनले	22	disagree
गो	मसँग	22	agree
रागीमी	संसारमा	22	not_in_SIL
लशा	गए	22	not_in_SIL
गोमी	मैले	22	not_in_SIL
आ	अर्थात्	22	disagree
निक्‍शी	केही	22	not_in_SIL
नाक्‍ती	दिन	22	not_in_SIL
बाक्‍ब	भएका	22	not_in_SIL
नाइश्‍शा	शान्ति	22	not_in_SIL
सेस	जीवित	22	disagree
तौ	पुत्रलाई	21	disagree
हिल्‍लो	सोधे	21	not_in_SIL
बर्स	वर्ष	21	disagree
सरीङ	स्वर्गबाट	21	agree
स्‍वर्गमी	स्वर्गमा	21	not_in_SIL
इनाम	इनाम	21	disagree
इन	तिमीलाई	21	disagree
इ	तिमी	21	disagree
सुइ	कोही	21	not_in_SIL
खोदेंशो	जस्तो	21	disagree
आ	उहाँलाई	21	disagree
येसु	तिनीहरूले	21	not_in_SIL
निसाफ	न्यायको	21	not_in_SIL
गेय	आफ्नो	21	disagree
आं	मकहाँ	21	disagree
आ	मेरो	21	disagree
दुम्‍ब	हुनेछ	21	not_in_SIL
मुर	भिड	21	disagree
होव़प	मालिक	21	agree
दे	थाहा	21	disagree
नेक्‍था	नजिक	21	not_in_SIL
बेक्‍शो	मृतकहरूबाट	21	not_in_SIL
मारदे	तिमीहरू	21	disagree
शीमी	क्रुसमा	21	not_in_SIL
ग्रुम्‍तीक	सभाघरमा	21	not_in_SIL
प्रभुमी	प्रभुले	21	not_in_SIL
अब्राहाम	अब्राहामका	20	not_in_SIL
दे	उनले	20	disagree
साइक्‍चा	मार्न	20	not_in_SIL
मुरपुकीमी	मानिसहरूले	20	not_in_SIL
मो	त्यसो	20	disagree
गेने	देओ	20	not_in_SIL
दोपा	जसरी	20	disagree
मोपा	त्यसरी	20	agree
फुल्‍लु	ढुङ्गा	20	agree
यहूदा	यहूदा	20	not_in_SIL
सहे	सय	20	not_in_SIL
दातेमी	माझमा	20	not_in_SIL
ब्रोंइशा	जीवित	20	not_in_SIL
अरु	अरू	20	not_in_SIL
इन	तिमीहरूकहाँ	20	disagree
गो	मलाई	20	agree
मीश	स्‍त्रीले	20	disagree
मुरुमी	मानिसले	20	not_in_SIL
मेको	उहाँको	20	not_in_SIL
बेक्‍शो	मृत्युबाट	20	not_in_SIL
मिनु	ताकि	20	disagree
ख्रीस्‍त	ख्रीष्‍टलाई	20	not_in_SIL
आंम	आफ्ना	20	disagree
अरेशो	व्यवस्थाको	20	not_in_SIL
दाऊद	दाऊदका	19	not_in_SIL
आ	तिनका	19	disagree
वा	वस्‍त्र	19	disagree
रागी	सारा	19	disagree
मुरपुकी	मानिसहरू	19	not_in_SIL
मिनु	तुरुन्तै	19	disagree
कली	आज्ञा	19	disagree
तशा	देख्‍नुभयो	19	not_in_SIL
रागी	पृथ्वी	19	disagree
दुम्‍ब	हुन्छ	19	not_in_SIL
रे	आएको	19	disagree
पा	गरेर	19	disagree
लोक्‍ब	भाइलाई	19	not_in_SIL
ङांइ	माछा	19	agree
इन	तिमीले	19	disagree
फरिसीपुकीमी	फरिसीहरूले	19	not_in_SIL
फरिसीपुकी	फरिसीहरू	19	not_in_SIL
शांबु	दाखमद्य	19	disagree
मेको	तिनलाई	19	not_in_SIL
सुइ	कसैलाई	19	not_in_SIL
शुश	बढी	19	disagree
आ	उनले	19	disagree
नेल्‍लेमी	सबै	19	not_in_SIL
क्‍येङा	अझ	19	not_in_SIL
लोव़	बोल्न	19	disagree
सोक्‍त	आत्माको	19	disagree
सास्‍त्री	शास्‍त्रीहरू	19	not_in_SIL
बाक्‍शो	भएका	19	not_in_SIL
बाक्‍त	थाले	19	not_in_SIL
खोदेंशो	झैँ	19	disagree
आंइ	हामी	19	disagree
कांटी	क्रुसमा	19	disagree
मिनु	तिनी	19	disagree
नेल्‍ल	सारा	19	disagree
कली	अर्थात्	19	disagree
खिंमी	मन्दिरमा	19	not_in_SIL
कली	नै	19	disagree
थुं	हृदय	19	disagree
यरूसलेम	यरूशलेममा	19	not_in_SIL
सोइश्‍शो	प्रेरित	19	not_in_SIL
गेपुकी	तिमीहरूसँग	19	agree
आस	आशा	19	agree
गोपुकीमी	हामी	19	not_in_SIL
मिनु	यसरी	19	disagree
पा	निम्ति	18	disagree
मिनु	हेर	18	disagree
लोव़	बारेमा	18	disagree
सेंदा	आवाज	18	disagree
रे	तल	18	disagree
परमप्रभु	परमप्रभु	18	not_in_SIL
कली	बारेमा	18	disagree
थुं	सान्त्वना	18	disagree
कली	तिमीहरूलाई	18	agree
दुम्‍ब	हो	18	not_in_SIL
दाक्‍ब	प्रेम	18	not_in_SIL
आन	गर्नेहरूलाई	18	disagree
शोंप	धन	18	agree
मेकोमी	जसले	18	not_in_SIL
इ	आफ्नो	18	disagree
मोसामी	मोशाले	18	not_in_SIL
रागीमी	मानिसका	18	not_in_SIL
पाम्‍तेक्‍म	गरे	18	not_in_SIL
मेको	जसले	18	not_in_SIL
ब्रोंइचा	जीवन	18	disagree
यूहन्‍ना	यूहन्‍नालाई	18	not_in_SIL
मिनु	तिमीहरू	18	disagree
वा	कपडा	18	disagree
नोफा	कान	18	agree
रागी	पृथ्वीका	18	disagree
गे	तिमीहरूलाई	18	disagree
पाइब	गर्ने	18	not_in_SIL
एलीया	एलिया	18	not_in_SIL
नवे	हौ	18	not_in_SIL
दातेमी	बिचमा	18	not_in_SIL
मिनु	केही	18	disagree
मेको	ताकि	18	not_in_SIL
स्‍वर्ग	स्वर्गदूतले	18	not_in_SIL
मेकोमी	तिनले	18	not_in_SIL
अब्राहाम	अब्राहाम	17	not_in_SIL
बाक्‍त	लागे	17	not_in_SIL
पाइब	शासक	17	not_in_SIL
हना	जसले	17	disagree
आल	बालकलाई	17	disagree
रागी	संसारका	17	disagree
नेल्‍ल	थोक	17	disagree
मेको	उहाँले	17	not_in_SIL
मेकेर	त्यहाँबाट	17	disagree
सु	जो	17	disagree
लांमी	बाटोमा	17	not_in_SIL
नेल्‍ल	सम्पूर्ण	17	disagree
शेंसीबपुकीमी	चेलाहरू	17	not_in_SIL
मनङ	होइनँ	17	not_in_SIL
रोइ	निको	17	disagree
सहर	सहरको	17	disagree
लोव़	बोल्ने	17	disagree
बाक्‍नीनी	छौ	17	not_in_SIL
आ	उसले	17	disagree
शिशी	कृपा	17	disagree
पर्बम	विरुद्धमा	17	disagree
निक्‍शीमी	भने	17	not_in_SIL
नेंशा	सुनेर	17	not_in_SIL
लोक्‍ब	भाइहरू	17	not_in_SIL
पाइब	अगमवक्‍ता	17	not_in_SIL
ननी	हुनुहुन्छ	17	not_in_SIL
मान	आराधना	17	not_in_SIL
वारच	सहायता	17	disagree
रे	भई	17	disagree
गे	हातपट्टि	17	disagree
नें	नाउँमा	17	disagree
मेको	सबै	17	not_in_SIL
नाइक्‍तीक	विश्रामको	17	not_in_SIL
बाक्‍त	हुन्	17	not_in_SIL
गोपुकी	हामीले	17	agree
आंइ	हामीले	17	disagree
बाक्‍तीनी	थियौ	17	not_in_SIL
स्‍वर्ग	स्वर्गदूत	16	not_in_SIL
कली	तिनलाई	16	agree
मेको	उनले	16	not_in_SIL
बाक्‍त	राखे	16	not_in_SIL
सोरुल	तारा	16	agree
लावो	जाऊ	16	not_in_SIL
मिनु	उनी	16	disagree
ठेयब	एउटा	16	disagree
मिनु	त्यसले	16	disagree
मुर	भिडलाई	16	disagree
राज्‍यमी	राज्यमा	16	not_in_SIL
बुश	सेतो	16	agree
रागीमी	पृथ्वीमा	16	not_in_SIL
बाक्‍कीन	गर	16	not_in_SIL
मपने	नगर	16	not_in_SIL
शेंसीब	चेला	16	disagree
मतुइक्‍नुङ	इन्कार	16	not_in_SIL
दे	म	16	disagree
गे	हे	16	disagree
कली	जसलाई	16	agree
चाप्‍बा	सक्छ	16	not_in_SIL
लोव़	सन्देश	16	disagree
एकेर	यहाँ	16	agree
वांचेर	बिउ	16	disagree
निक्‍शी	अरू	16	not_in_SIL
गेशो	दिइएको	16	not_in_SIL
जेल्‍खानमी	झ्यालखानामा	16	not_in_SIL
पत्रुसमी	भने	16	not_in_SIL
येसु	येशूकहाँ	16	not_in_SIL
गेपुकीमी	तिमीहरू	16	not_in_SIL
लोव़	यो	16	disagree
जाक्‍शो	आएका	16	not_in_SIL
खेयप	पटक	16	not_in_SIL
१०	दस	16	not_in_SIL
टलेन्‍ट	सिक्‍का	16	not_in_SIL
मार	सबै	16	disagree
खिं	मन्दिर	16	disagree
दाइश्‍शा	भन्दछु	16	not_in_SIL
मिनु	उनीहरूले	16	disagree
देंशो	भनेको	16	not_in_SIL
नाक्‍त	दिनसम्म	16	agree
ग्‍येरपाइक्‍ब	सुसमाचारको	16	not_in_SIL
बाक्‍त	बताए	16	not_in_SIL
तशा	देखेर	16	not_in_SIL
मचाप्‍नीम	सक्दैन	16	not_in_SIL
इ	तेरो	16	disagree
कली	केही	16	disagree
मी	आगो	16	agree
मेकोमी	उनले	16	not_in_SIL
यहूदी	यहूदीहरू	16	not_in_SIL
तन्‍न	बरु	16	disagree
गो	तर	16	disagree
पावल	पावलले	16	not_in_SIL
नेंता	सुनेँ	16	not_in_SIL
थि‍माक्‍त	थिए	15	not_in_SIL
योसेफ	योसेफ	15	not_in_SIL
ए	ए	15	not_in_SIL
तशो	देखेका	15	not_in_SIL
सुन	सुन	15	not_in_SIL
गालील	गालीलको	15	not_in_SIL
