suz_word	npi_word	frequency
लोक्‍बपुकी	भाइहरू	89
तौ	पुत्र	87
बाक्‍माक्‍त	थिए	87
पर्बम	बारेमा	86
गे	तिमी	86
आं	मैले	85
गेपुकी	तिमीहरू	84
“	भने	83
,	हो	83
मुर	मानिस	83
सुमी	जसले	83
,	;	83
आ	आफ्ना	82
,	वा	81
एको	यी	80
परमप्रभु	परमेश्‍वर	79
येसुमी	दिनुभयो	79
परमप्रभु	परमेश्‍वरलाई	79
मेको	यी	79
येसु	येशूको	78
लेंशा	फेरि	78
,	भने	77
यावे	परमेश्‍वरका	77
“	उहाँलाई	76
येसुमी	उहाँले	76
गेय	काम	76
मेको	ती	75
नङ	हुँ	75
प्रार्थना	प्रार्थना	74
का	एक	74
यावे	पवित्र	73
,	तिनीहरूले	73
लोव़	कुराहरू	73
मारदे	किन	73
गे	तिमीहरूले	73
मेको	त्यस	72
येसु	उहाँको	71
येसु	उहाँ	71
ठेयब	मुख्य	70
परमप्रभु	तर	70
पत्रुस	पत्रुस	70
नोफा	म	70
निक्‍शी	दुई	69
देंशा	,	69
दे	कि	69
पाप	पाप	69
।	छु	69
“	भन्‍नुभयो	68
इ	तिमीलाई	68
मिनु	तिनीहरू	67
इन	तिमीहरूले	67
मेको	तिनीहरू	67
परमप्रभु	किनकि	66
मिनु	त्यसैले	66
बाक्‍माक्‍त	थियो	65
नें	नाउँ	65
मेको	तिनीहरूले	65
शोब्‍ले	रोटी	65
पा	र	65
कली	प्रेम	65
इन	तपाईंको	65
ठेयब	महान्	64
दे	”	64
मेको	त्यसलाई	64
येसुमी	जवाफ	63
इं	हामीलाई	63
मिनु	,	63
रागीम	मानिसका	62
गुइ	हात	61
परमप्रभु	परमेश्‍वरका	60
ठेयब	ठुलो	60
दोपा	कसरी	60
देंमेनु	”	60
गोपुकी	हामी	60
बेक्‍शो	जीवित	59
ठीक	धर्मी	59
मिनु	उनले	58
दाइश्‍शा	तिमीहरूलाई	58
इन	तिमीहरू	58
हना	भए	58
निसाफ	न्याय	58
परमप्रभु	,	58
नाक्‍त	दिन	57
गे	तपाईं	57
पर्बम	निम्ति	57
पत्रुसमी	पत्रुसले	57
आन	आफ्नो	56
मेको	उहाँ	56
बाक्‍तेक्‍म	थिए	55
मेकोमी	त्यसले	55
ङोंइती	पहिलो	55
मुल	अहिले	55
,	त्यो	54
नक	नयाँ	54
”	?	54
शिशी	अनुग्रह	54
का	एउटा	53
मेको	उहाँलाई	53
बाक्‍त	दिए	53
सिमोन	सिमोन	53
इन	आफ्नो	53
पावल	पावल	53
“	यसो	52
तशा	देखे	52
राज्‍य	राज्य	52
सुइमी	कसैले	52
,	निम्ति	52
,	उहाँ	51
।	?	51
आंइ	हामीलाई	51
,	म	51
ठेयब	प्रधान	51
ख्रीस्‍त	ख्रीष्‍टमा	51
बाक्‍त	भए	50
,	तिनीहरू	50
”	भनी	50
ब्रेक्‍शो	लेखिएको	50
नु	वा	50
रां	शरीर	50
गेपुकीमी	तिमीहरूले	50
आ	त्यसको	50
।	गर	49
दाक्‍शो	प्रिय	49
सोक्‍त	आत्मा	49
गो	मेरो	49
जना	जना	48
सां	तिन	48
मुर	एक	47
मेको	र	47
ङोंइती	अगाडि	46
पिप	राजा	46
”	छन्	46
।	’	46
आंइ	हाम्रा	46
यावे	परमेश्‍वर	46
मेकोमी	उहाँले	45
कली	यसो	45
ङोंइती	पहिले	45
मारेइ	केही	45
आन	मानिसहरूलाई	45
मोपतीके	त्यसैले	45
सु	को	45
इं	हाम्रो	45
।	छ	45
नु	,	45
मेकोपुकी	तिनीहरू	44
कली	उहाँलाई	44
कली	विरुद्धमा	44
गेपुकी	तिमीहरूले	44
मुर	मानिसलाई	44
मुल	अब	44
आ	तिनको	43
मिनु	उहाँलाई	43
बाक्‍ब	हुन्	43
शुश	ठुलो	43
मिनु	उहाँ	43
दाइश्‍शा	साँचो	43
का	एउटै	43
पने	गर	43
।	होस्	43
बाक्‍नीम	छन्	43
मेकेर	त्यहाँ	43
आ	परमेश्‍वरको	42
कली	मानिसलाई	42
”	!	42
।	छन्	42
बाक्‍ब	छन्	42
गेना	अनन्त	42
पावलमी	पावलले	42
बाक्‍त	हो	41
।	ताकि	41
नोले	पछि	41
गे	तिमीले	41
मेकोमी	उसले	41
आफोमी	पिताले	41
आन	तिनीहरूको	41
अरेशो	व्यवस्था	41
नेंमी	नाउँमा	41
खिं	घर	41
,	छ	41
ब्‍वाक्‍कु	पानी	41
७	सातवटा	41
आंइ	हाम्रो	41
बाक्‍ब	हुन्छ	40
नेंशा	सुने	40
मरिम्‍शो	दुष्‍ट	40
मार	जे	40
मुर	मानिसहरू	40
थमा	सत्य	40
मिनु	त्यहाँ	40
तन्‍न	,	40
मिनु	त्यो	39
यरूसलेम	यरूशलेम	39
गेय	सेवा	39
गो	हामीले	39
परमप्रभु	जसले	39
लोक्‍ब	भाइ	39
दोस	दोष	39
आन	आफ्ना	38
येसुमी	तिनीहरूलाई	38
आन	तिनीहरू	38
आफ	पिताको	38
मोपतीके	त्यसकारण	38
नोफा	साँच्‍चै	38
शेंसीब	चेलाहरूलाई	38
आ	उसको	38
आ	उनको	38
मान	आदर	38
चढ़ेब	पुजारीहरू	38
पावल	पावललाई	38
मुर	मानिसहरूलाई	37
गोपुकीमी	हामीले	37
,	उहाँले	37
मिक्‍च	आँखा	37
गेय	कामहरू	37
शेंसीबपुकीमी	चेलाहरूले	37
हना	,	37
रागी	संसारको	37
बाक्‍मा	थिए	37
यहूदी	यहूदी	37
थि‍माक्‍त	पिता	36
‘	“	36
यूहन्‍ना	यूहन्‍ना	36
मरिम्‍शो	पाप	36
गेनायो	कहिल्यै	36
रे	बाहिर	36
नेनीने	भन्दछु	36
इन	तिम्रो	36
ङोंइती	अगि	36
मोदेंशो	यी	36
चहिं	तर	36
१२	बाह्र	36
मीश	स्‍त्री	36
अर्को	अर्को	36
कली	त्यसलाई	36
इ	तिमीले	36
थमा	विश्‍वासको	36
प्रभु	प्रभुको	36
ताता	देखेँ	36
चढ़ेब	पुजारी	35
बाक्‍त	गए	35
“	भन्यो	35
आ	उहाँ	35
लोव़	प्रचार	35
ठेयब	प्रशंसा	35
पचा	गर्न	35
,	गर्दा	35
तिरो	कर	35
खोदेंशो	जस्तै	35
का	केही	35
अधिकार	अधिकार	35
येसुमी	येशू	35
मेको	उसले	35
ग्रांग्रा	अशुद्ध	35
पिलातसमी	पिलातसले	35
यावेमी	उहाँले	34
ग्‍येरपाइक्‍ब	सुसमाचार	34
शिशी	दया	34
सहर	सहर	34
ग्‍युरा	दाहिने	34
,	केही	34
श्‍येत	दुःख	34
ङोंइती	सामु	34
यो	तापनि	34
आंम	आफ्नो	34
मारेइ	कुनै	34
ख्रोइक्‍तीक	खतना	34
यहूदीपुकीमी	यहूदीहरूले	34
ते	कहाँ	33
ख्रुम्‍शा	बप्‍तिस्मा	33
दे	निम्ति	33
बाक्‍त	भयो	33
का	जना	33
इन	तपाईंका	33
,	उसले	33
७	सात	33
,	एउटा	33
आंम	आफ्नै	33
ख्रीस्‍त	ख्रीष्‍टका	33
परमप्रभु	परमेश्‍वरमा	33
परमप्रभु	परमेश्‍वरले	33
मेको	तर	32
इन	म	32
याकूब	याकूब	32
ठीक	धार्मिकताको	32
दाक्‍शो	इच्छा	32
माफ	क्षमा	32
मरिम्‍शो	खराब	32
दे	ताकि	32
नाक्‍त	दिनमा	32
मारेइ	सबै	32
मिनु	अब	32
प्रभु	प्रभुमा	32
थमा	पुरा	31
बाक्‍त	आए	31
स्‍वर्ग	स्वर्गको	31
गे	तपाईंले	31
मोपतीके	यसकारण	31
जरमेशो	पुत्र	31
बाक्‍नीनी	धन्यवाद	31
पाप	पापको	31
बाक्‍त	गर्नुभयो	31
सोक्‍तीमी	आत्माले	31
येसु	येशूमा	31
यूहन्‍नामी	यूहन्‍नाले	30
गुइमी	हातमा	30
छेङछेङ	ज्योति	30
राज्‍य	राज्यको	30
आन	मानिसहरूका	30
बाक्‍त	ल्याए	30
इ	तिम्रा	30
जाक्‍शा	आए	30
ए	“	30
कली	मेरो	30
इन	तपाईंलाई	30
सक्ति	शक्‍ति	30
ठेयब	महिमा	30
आ	उहाँले	30
‘	,	30
रिम्‍शो	अभिवादन	30
मुर	मानिसहरूका	29
खिं	घरमा	29
ठीक	धार्मिकता	29
क्‍येङा	भन्दा	29
ग्‍युंबे	विवाह	29
पने	गर्न	29
परमप्रभु	नै	29
खिंमी	घरमा	29
बाक्‍त	थिएन	29
,	गर्नुभयो	29
मरीयम	मरियम	29
मेको	त्यसको	29
परमप्रभु	यो	29
गे	,	29
पर्बम	विषयमा	29
बाक्‍नीम	हुन्	29
ङा	त	29
लोव़	वचनहरू	29
मिनु	ती	28
गे	पश्‍चात्ताप	28
आ	जसको	28
रोइ	बिरामी	28
सुमी	कसैले	28
,	भन्‍ने	28
इन	कि	28
।	भने	28
हुश	रगत	28
एको	यस	28
मेको	त्यसले	28
मिनु	त्यसकारण	28
स्‍वर्ग	स्वर्गबाट	28
नाक्‍ती	दिनमा	28
आन	कि	28
परमप्रभु	कि	28
ममा	आमा	27
हना	निम्ति	27
बाक्‍शो	भएको	27
हजार	हजार	27
मिनु	उहाँहरू	27
शेंब	गुरुज्यू	27
मेको	उसलाई	27
शोंप	धनी	27
।	छौँ	27
बाक्‍कीन	रहो	27
आ	,	27
थमा	विश्‍वासद्वारा	27
यहूदी	यहूदीहरूका	26
लां	बाटो	26
,	अनि	26
आ	यसो	26
आन	तिनीहरूले	26
,	उसलाई	26
परमप्रभु	के	26
आन	मानिसहरूको	26
मेको	तिनीहरूको	26
बाक्‍माक्‍त	थिइन्	26
छक	छक्‍क	26
।	थिए	26
इन	तिम्रा	26
५	पाँच	26
‘	भन्यो	26
आ	त्यसका	26
वाइल	दास	26
इं	हामी	26
ङा	भएका	26
परमप्रभु	परमेश्‍वरबाट	26
थमा	विश्‍वासमा	26
लोव़	आज्ञा	25
फल	फल	25
क्‍येङा	सबैभन्दा	25
मिनु	फेरि	25
आ	उनका	25
शेंसीबपुकी	चेलाहरू	25
पर्बम	खातिर	25
।	कि	25
हना	कि	25
लाप्‍चो	ढोका	25
दे	बारेमा	25
,	भनेर	25
कली	सोधे	25
लोव़	घोषणा	25
रां	शरीरलाई	25
,	भनी	25
मारेइ	कुरा	25
आंम	आफैँलाई	25
”	आज्ञा	25
पा	गरी	25
मेको	जुन	25
आ	सबै	25
लोव़	गवाही	25
मुरपुकीमी	तिनीहरूले	25
मुर	मानिसको	25
ब्रोंइशा	जीवन	25
आल	बालक	24
ठेयब	आराधना	24
बाक्‍त	दिनुभयो	24
जाक्‍शो	आएको	24
आ	निम्ति	24
देंशो	भन्‍ने	24
कसम	शपथ	24
इन	आफ्ना	24
मोदेंशो	यो	24
आफ	बुबा	24
नेल्‍लेमी	सबैले	24
बाक्‍त	जानुभयो	24
४	चार	24
रे	नै	24
आ	एउटा	24
प्रभु	प्रभुलाई	24
मारदे	ताकि	24
यरूसलेममी	यरूशलेममा	23
सहरमी	सहरमा	23
पा	रूपमा	23
ननी	हौ	23
ओव़चा	प्रवेश	23
स्‍वर्गम	स्वर्गमा	23
नेनीने	,	23
आमेन	आमेन	23
ङा	भएको	23
आन	निम्ति	23
बाक्‍मे	छ	23
आफ	पितालाई	23
का	कोही	23
,	त्यसले	23
लोव़	अगमवाणी	23
छक	चकित	23
मीश	पत्‍नी	23
पिया	शिर	23
अरेशो	आज्ञा	23
सांकछी	गवाही	23
नु	उहाँसँगै	23
नेनीन	साँचो	23
गेना	सदासर्वदा	23
इच्‍का	केही	23
छेङछेङ	महिमा	23
लोव़	पालन	23
गोरशो	उजाड-स्थानमा	22
सहर	सहरमा	22
नेल्‍ल	सबैलाई	22
हना	तिनीहरूले	22
सरीङ	स्वर्ग	22
देंनुङ	भन्दछु	22
रां	शरीरको	22
सु	जसले	22
हना	तिमीहरू	22
कली	घोषणा	22
मेकोपुकीमी	तिनीहरू	22
होस	होसियार	22
,	हामीले	22
नम	हुन्	22
श्‍येत	कष्‍ट	22
मिनु	तिनले	22
गो	मसँग	22
”	भन्‍ने	22
रागीमी	संसारमा	22
लशा	गए	22
गोमी	मैले	22
आ	अर्थात्	22
चहिं	,	22
निक्‍शी	केही	22
।	)	22
नाक्‍ती	दिन	22
बाक्‍ब	भएका	22
नाइश्‍शा	शान्ति	22
सेस	जीवित	22
तौ	पुत्रलाई	21
हिल्‍लो	सोधे	21
बर्स	वर्ष	21
सरीङ	स्वर्गबाट	21
स्‍वर्गमी	स्वर्गमा	21
इनाम	इनाम	21
इन	तिमीलाई	21
इ	तिमी	21
,	भएर	21
सुइ	कोही	21
खोदेंशो	जस्तो	21
आ	उहाँलाई	21
येसु	तिनीहरूले	21
निसाफ	न्यायको	21
गेय	आफ्नो	21
आं	मकहाँ	21
आ	मेरो	21
दुम्‍ब	हुनेछ	21
मुर	भिड	21
होव़प	मालिक	21
दे	थाहा	21
नेक्‍था	नजिक	21
निक्‍शीमी	,	21
बेक्‍शो	मृतकहरूबाट	21
मारदे	तिमीहरू	21
शीमी	क्रुसमा	21
ग्रुम्‍तीक	सभाघरमा	21
प्रभुमी	प्रभुले	21
अब्राहाम	अब्राहामका	20
दे	उनले	20
साइक्‍चा	मार्न	20
,	!	20
मुरपुकीमी	मानिसहरूले	20
मो	त्यसो	20
गेने	देओ	20
दोपा	जसरी	20
मोपा	त्यसरी	20
फुल्‍लु	ढुङ्गा	20
यहूदा	यहूदा	20
,	इच्छा	20
सहे	सय	20
दातेमी	माझमा	20
ब्रोंइशा	जीवित	20
अरु	अरू	20
इन	तिमीहरूकहाँ	20
गो	मलाई	20
मीश	स्‍त्रीले	20
मुरुमी	मानिसले	20
,	आफैँलाई	20
मेको	उहाँको	20
बेक्‍शो	मृत्युबाट	20
मिनु	ताकि	20
ख्रीस्‍त	ख्रीष्‍टलाई	20
आंम	आफ्ना	20
अरेशो	व्यवस्थाको	20
दाऊद	दाऊदका	19
आ	तिनका	19
वा	वस्‍त्र	19
रागी	सारा	19
मुरपुकी	मानिसहरू	19
मिनु	तुरुन्तै	19
कली	आज्ञा	19
तशा	देख्‍नुभयो	19
रागी	पृथ्वी	19
दुम्‍ब	हुन्छ	19
रे	आएको	19
पा	गरेर	19
लोक्‍ब	भाइलाई	19
ङांइ	माछा	19
,	मेरो	19
इन	तिमीले	19
फरिसीपुकीमी	फरिसीहरूले	19
फरिसीपुकी	फरिसीहरू	19
शांबु	दाखमद्य	19
मेको	तिनलाई	19
सुइ	कसैलाई	19
शुश	बढी	19
आ	उनले	19
नेल्‍लेमी	सबै	19
क्‍येङा	अझ	19
लोव़	बोल्न	19
सोक्‍त	आत्माको	19
सास्‍त्री	शास्‍त्रीहरू	19
बाक्‍शो	भएका	19
,	अर्को	19
बाक्‍त	थाले	19
,	गरेर	19
खोदेंशो	झैँ	19
आंइ	हामी	19
कांटी	क्रुसमा	19
मिनु	तिनी	19
नेल्‍ल	सारा	19
कली	अर्थात्	19
खिंमी	मन्दिरमा	19
,	गरेको	19
कली	नै	19
थुं	हृदय	19
यरूसलेम	यरूशलेममा	19
सोइश्‍शो	प्रेरित	19
गेपुकी	तिमीहरूसँग	19
आस	आशा	19
गोपुकीमी	हामी	19
मिनु	यसरी	19
पा	निम्ति	18
मिनु	हेर	18
लोव़	बारेमा	18
सेंदा	आवाज	18
रे	तल	18
परमप्रभु	परमप्रभु	18
कली	बारेमा	18
थुं	सान्त्वना	18
कली	तिमीहरूलाई	18
दुम्‍ब	हो	18
दाक्‍ब	प्रेम	18
आन	गर्नेहरूलाई	18
शोंप	धन	18
मेकोमी	जसले	18
इ	आफ्नो	18
मोसामी	मोशाले	18
रागीमी	मानिसका	18
पाम्‍तेक्‍म	गरे	18
मेको	जसले	18
ब्रोंइचा	जीवन	18
यूहन्‍ना	यूहन्‍नालाई	18
मिनु	तिमीहरू	18
वा	कपडा	18
नोफा	कान	18
रागी	पृथ्वीका	18
गे	तिमीहरूलाई	18
पाइब	गर्ने	18
एलीया	एलिया	18
नवे	हौ	18
दातेमी	बिचमा	18
,	हामीलाई	18
मिनु	केही	18
मेको	ताकि	18
।	हुनुहुन्छ	18
स्‍वर्ग	स्वर्गदूतले	18
मेकोमी	तिनले	18
मेको	,	18
अब्राहाम	अब्राहाम	17
बाक्‍त	लागे	17
पाइब	शासक	17
हना	जसले	17
“	तिनीहरूलाई	17
आल	बालकलाई	17
रागी	संसारका	17
नेल्‍ल	थोक	17
मेको	उहाँले	17
मेकेर	त्यहाँबाट	17
सु	जो	17
।	हुनेछ	17
लांमी	बाटोमा	17
नेल्‍ल	सम्पूर्ण	17
शेंसीबपुकीमी	चेलाहरू	17
मनङ	होइनँ	17
रोइ	निको	17
सहर	सहरको	17
लोव़	बोल्ने	17
बाक्‍नीनी	छौ	17
आ	उसले	17
शिशी	कृपा	17
पर्बम	विरुद्धमा	17
निक्‍शीमी	भने	17
नेंशा	सुनेर	17
लोक्‍ब	भाइहरू	17
पाइब	अगमवक्‍ता	17
ननी	हुनुहुन्छ	17
मान	आराधना	17
वारच	सहायता	17
रे	भई	17
गे	हातपट्टि	17
नें	नाउँमा	17
मेको	सबै	17
नाइक्‍तीक	विश्रामको	17
बाक्‍त	हुन्	17
गोपुकी	हामीले	17
आंइ	हामीले	17
आं	,	17
बाक्‍तीनी	थियौ	17
स्‍वर्ग	स्वर्गदूत	16
कली	तिनलाई	16
मेको	उनले	16
बाक्‍त	राखे	16
सोरुल	तारा	16
लावो	जाऊ	16
मिनु	उनी	16
ठेयब	एउटा	16
मिनु	त्यसले	16
मुर	भिडलाई	16
,	तिमीहरू	16
राज्‍यमी	राज्यमा	16
बुश	सेतो	16
रागीमी	पृथ्वीमा	16
बाक्‍कीन	गर	16
मपने	नगर	16
शेंसीब	चेला	16
मतुइक्‍नुङ	इन्कार	16
दे	म	16
गे	हे	16
कली	जसलाई	16
चाप्‍बा	सक्छ	16
लोव़	सन्देश	16
एकेर	यहाँ	16
वांचेर	बिउ	16
निक्‍शी	अरू	16
गेशो	दिइएको	16
जेल्‍खानमी	झ्यालखानामा	16
पत्रुसमी	भने	16
येसु	येशूकहाँ	16
”	गरे	16
गेपुकीमी	तिमीहरू	16
लोव़	यो	16
जाक्‍शो	आएका	16
खेयप	पटक	16
१०	दस	16
टलेन्‍ट	सिक्‍का	16
?	”	16
मार	सबै	16
खिं	मन्दिर	16
,	अर्थात्	16
ङा	,	16
दाइश्‍शा	भन्दछु	16
मिनु	उनीहरूले	16
।	थियौ	16
देंशो	भनेको	16
नाक्‍त	दिनसम्म	16
ग्‍येरपाइक्‍ब	सुसमाचारको	16
बाक्‍त	बताए	16
तशा	देखेर	16
मचाप्‍नीम	सक्दैन	16
इ	तेरो	16
कली	केही	16
मी	आगो	16
मेकोमी	उनले	16
यहूदी	यहूदीहरू	16
तन्‍न	बरु	16
गो	तर	16
पावल	पावलले	16
नेंता	सुनेँ	16
थि‍माक्‍त	थिए	15
योसेफ	योसेफ	15
ए	ए	15
तशो	देखेका	15
सुन	सुन	15
गालील	गालीलको	15
परमप्रभु	यसो	15
।	तर	15
समुन्‍द्र	समुद्रको	15
,	गर्दछ	15
लोव़	यी	15
राज्‍य	राज्यमा	15
मीश	व्यभिचार	15
गे	ए	15
कली	दिने	15
ङोन	टाढा	15
खिं	घरको	15
दे	उसले	15
देय	कि	15
मोदेंशो	यस्तो	15
शुक्‍शी	गिल्ला	15
नें	नाउँको	15
नु	न	15
निक्‍शी	दुईवटा	15
कली	ग्रहण	15
।	जो	15
”	उहाँलाई	15
देंशो	वचन	15
मिनु	त्यस	15
आं	यो	15
येसु	तिनीहरू	15
नां	साँझ	15
।	गरेको	15
अर्को	गैरयहूदीहरूका	15
क्‍येट	पैसा	15
गेय	कुराहरू	15
ठेयब	उच्‍च	15
ङा	सबै	15
‘	कि	15
थुं	र	15
कचौरा	कचौरा	15
नाक्‍त	समय	15
पाइबमी	स्वर्गदूतले	15
मिनु	मैले	15
ते	कहाँबाट	15
सु	यदि	15
ठेयब	घमण्ड	15
मोपा	उहाँले	15
नोले	,	15
दाऊद	दाऊदको	15
मेको	यस	15
मेको	नै	15
सोक्‍तीम	आत्माले	15
रे	छुटकारा	15
यावे	परमेश्‍वरसँग	15
यहूदी	यहूदीहरूको	15
लोव़	,	15
बाक्‍कीन	पठाएका	15
,	उहाँलाई	14
बोक्‍शा	उठे	14
वोंइश	पुरुष	14
प्रभु	परमप्रभुको	14
फरिसी	फरिसीहरू	14
सुमी	कसले	14
दे	विचार	14
गालील	गालीलमा	14
समुन्‍द्र	समुद्र	14
रिम्‍शो	शुद्ध	14
जोल	झुटो	14
नेल्‍ल	निम्ति	14
मीश	स्‍त्रीलाई	14
बाक्‍ब	होस्	14
गेब	दिनुहुनेछ	14
पाइनीम	गर्छन्	14
लेश्‍शा	फर्केर	14
कली	कसरी	14
शुशेमी	धेरै	14
पावो	गर	14
जरमेशो	पुत्रको	14
गो	हामीलाई	14
तेको	कुन	14
माइत	पुरानो	14
कामी	जना	14
थमा	विश्‍वासले	14
निक्‍शीमी	दुई	14
लोव़	सुसमाचार	14
परमप्रभु	प्रार्थना	14
मोदेंशो	तर	14
इन	तिमीहरूमा	14
इस्राएल	इस्राएलका	14
तरवार	तरवार	14
देय	वा	14
’	छ	14
ठीक	तयार	14
।	थियो	14
मेकोमी	त्यो	14
कथा	दृष्‍टान्त	14
‘	भने	14
कली	हामीले	14
मो	यसो	14
पचा	गर्नुपर्छ	14
जरमेशो	पुत्रलाई	14
पोक्‍च	घुँडा	14
,	गर्छ	14
बाक्‍चा	जीवन	14
‘	जवाफ	14
तुइक्‍नीनी	जान्दछौ	14
फुल्‍लु	ढुङ्गाले	14
सिरपेच	मुकुट	14
परमप्रभु	पवित्र	14
येसु	येशूका	14
“	कि	14
नु	अनि	14
आं	हे	14
जचा	खानेकुरा	14
दीसा	अर्को	14
परमप्रभु	उहाँ	14
,	हुनाले	14
आं	मसँग	14
थमा	साँचो	14
,	आफ्नो	14
यो	नै	14
दुम्‍तीनी	छौ	14
,	गरे	14
जाम्‍शा	नष्‍ट	14
जहाज	जहाज	14
वोंइश	पति	13
हेरोदमी	हेरोदले	13
बाक्‍त	बसे	13
ख्रुम्‍शा	बप्‍तिस्‍मा	13
सोक्‍तीमी	आत्मा	13
४०	चालिस	13
खिं	मन्दिरको	13
बाक्‍त	हुनुहुन्थ्यो	13
,	फेरि	13
मुर	कोही	13
थुंमी	हृदयमा	13
मीश	पत्‍नीलाई	13
मचाप्‍नीनी	सक्दैनौ	13
कली	छिमेकीलाई	13
स्‍वर्ग	स्वर्गमा	13
।	सक	13
तुराही	तुरही	13
ब्रोंइचा	जीवनको	13
मिक्‍चीम	आँखामा	13
गे	तिमीहरूका	13
लाक्‍चा	शक्‍तिशाली	13
मेकेर	जहाँ	13
कामी	जनाले	13
मेको	त्‍यो	13
खतम	नष्‍ट	13
बाक्‍नीनी	हुनुहुन्छ	13
मिक्‍च	दृष्‍टि	13
यूहन्‍ना	यूहन्‍नाको	13
,	व्यक्‍ति	13
मबाक्‍ब	छैन	13
नेल्‍ल	कुराहरू	13
,	भएको	13
लशा	जानुभयो	13
येसुमी	उहाँ	13
लोव़	कि	13
ममाइ	होइनन्	13
जचा	खान	13
शेशा	लिनुभयो	13
नेल्‍ल	र	13
यावे	धन्यवाद	13
मीश	स्‍त्रीहरू	13
शेंसीब	चेलाहरू	13
थुं	दुःखित	13
सुइक्‍ब	गर्ने	13
इन	तिमीहरूमध्ये	13
बाक्‍त	गर्‍यो	13
मोपतीके	यसैकारण	13
ब्रेश्‍शा	बोलाए	13
कली	यो	13
यावेमी	निम्ति	13
मारेइ	थोक	13
मरिम्‍शो	खराबी	13
का	अर्को	13
आ	येशूको	13
यावे	मन्दिरमा	13
हिल्‍लो	प्रश्‍न	13
मेको	एउटा	13
वा	पोशाक	13
थमा	सत्यतामा	13
अरेशो	व्यवस्थामा	13
दाक्‍चा	प्रेम	13
मो	तर	13
रागी	संसारमा	13
वारच	सेवा	13
बाक्‍त	लगे	13
पवानु	,	13
मो	यो	13
सुइ	कसैको	13
आ	परमेश्‍वरका	13
तेल्‍लेम	यौन	13
मिनु	यो	13
,	कारण	13
कली	उनले	13
मार	यही	13
चिन्‍ड	चिह्न	13
अब्राहाममी	अब्राहामले	13
मिनु	अर्को	13
पर्बम	गवाही	13
सक्ति	महिमित	13
,	ताकि	13
लोव़	भाषामा	13
थमा	विश्‍वासयोग्य	13
शिशी	अनुग्रहको	13
गेय	परिश्रम	13
सोक्‍तीम	आत्मिक	13
इं	परमेश्‍वर	13
भाग	एक-तिहाइ	13
लशा	गएर	12
बाक्‍त	देखे	12
बाक्‍त	लगाए	12
यर्दन	यर्दन	12
पचा	गर्नु	12
सोक्‍तीमी	आत्माद्वारा	12
गालील	गालील	12
आसीक	धन्य	12
रागी	पृथ्वीमा	12
बाक्‍ब	हुनेछ	12
रागी	यस	12
।	सक्दैन	12
बाक्‍ब	हुनुहुने	12
परमप्रभु	म	12
हना	नत्रता	12
देंशो	भनिएको	12
यो	न	12
मदुम्‍ब	होइन	12
,	आफ्ना	12
मोपतीके	त्यसैकारण	12
नेल्‍ल	कुरा	12
लोक्‍ब	भाइको	12
‘	भन्‍नेछन्	12
?	हो	12
माइश्‍शो	नाउँ	12
तमी	छोरी	12
आस	तिनीहरूका	12
ओदेंशो	यस्तो	12
”	होस्	12
दे	विषयमा	12
कली	ल्याउन	12
